管理番号,削除フラグ,管理グループ,機種名,OS,メジャーバージョン,サブバージョン,備考,画像ファイル名,作成日,更新日
CT-001,0,ct,CT-iPad_Retina,iOS,7,1,,CT-iPad_Retina.jpg,2014/4/16 18:19,2015/9/17 12:44
CT-002,0,ct,CT-Nexsus7,Android,4,4,,CT-Nexsus7.jpg,2014/4/16 18:19,2015/9/17 12:44
CT-003,0,ct,CT-HP_ENVY_X2_PC,Windows,8,1,,CT-HP_ENVY_X2_PC.jpg,2014/4/16 18:19,2015/9/17 12:44
CT-004,0,ct,Mac Book Air 13inch,MacOS,10,8.5,Mountain Lion,macbookair.jpg,2014/7/17 11:57,2015/9/17 12:44
SLP-001,1,slp,SLP-iPad,iOS,,,,SLP-iPad.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-002,0,slp,SLP-iPad_mini,iOS,7,1.2,,iPad_mini.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-003,0,slp,SLP-iPad_mini_Retina,iOS,7,0.4,,SLP-iPad_mini_Retina.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-004,0,slp,SLP-iPad_Air,iOS,7,0.4,,iPad-Air_b.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-005,0,slp,SLP-iPad_mini 2nd,iOS,9,0,,SLP-iPad_mini_Retina.jpg,2014/9/3 20:25,2015/9/17 12:44
SLP-006,0,slp,SLP-iPad_Air 2nd,iOS,8,1,,iPad-Air_b.jpg,2014/9/3 20:25,2015/9/17 12:44
SLP-007,0,slp,SLP-iPad_mini3,iOS,8,0,,iPad-mini3.jpg,2014/11/7 17:17,2015/9/17 12:44
SLP-008,0,slp,SLP-iPad_Air2,iOS,8,1,,iPad-Air2.jpg,2014/11/7 17:17,2015/9/17 12:44
SLP-009,0,slp,SLP-iPad mini 4,iOS,9,0,,iPad-mini-4-main2.png,2015/9/17 12:42,2015/9/17 12:44
SLP-011,0,slp,SLP-iPhone4S,iOS,7,1,,iPhone4s.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-012,0,slp,SLP-iPhone5S,iOS,8,0,,SLP-iPhone5S.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-013,0,slp,SLP-iPhone6,iOS,9,0,,SLP-iPhone6.jpg,2014/10/14 13:01,2015/9/17 12:44
SLP-014,0,slp,SLP-iPhone6_Plus,iOS,8,1,,SLP-iPhone6_Plus.jpg,2014/10/22 18:57,2015/9/17 12:44
SLP-015,0,slp,SLP-iPhone4S black,iOS,8,1.2,,iPhone4s_bk.jpg,2015/1/23 13:44,2015/9/17 12:44
SLP-016,0,slp,SLP-iPhone5 black,iOS,7,0.4,,iPhone5_bk.jpg,2015/2/19 19:59,2015/9/17 12:44
SLP-017,0,slp,SLP-iPhone6s,iOS,9,0,,ss651.jpg,2015/10/1 14:16,2015/10/1 14:16
SLP-021,1,slp,SLP-nexus7_2012,Android,,,,SLP-nexus7_2012.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-022,0,slp,SLP-nexus7_2013,Android,4,4.2,,SLP-nexus7_2013.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-023,0,slp,SLP-nexus7_2013,Android,5,0,Lollipop,SLP-nexus7_2013.jpg,2014/10/14 13:01,2015/9/17 12:44
SLP-024,0,slp,SLP-nexus5,Android,4,4.4,,SLP-nexus5.jpg,2014/10/14 13:01,2015/9/17 12:44
SLP-025,0,slp,SLP-nexus9,Android,5,0.1,Lollipop,SLP-nexus9.jpg,2015/1/13 19:41,2015/9/17 12:44
SLP-031,0,slp,SLP-XPERIA_Tablet_Z,Android,4,1.2,,xperia-tablet-z-3_m.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-032,0,slp,SLP-XPERIA_Tablet_Z(黒),Android,4,2.2,,xperia-tablet-z-2_m.jpg,2014/4/21 10:50,2015/9/17 12:44
SLP-033,0,slp,SLP-XPERIA_Z2_Tablet(黒),Android,4,4.2,,xperia-tablet-z-2_m.jpg,2014/6/4 10:42,2015/9/17 12:44
SLP-034,0,slp,SLP-Xperia_Z3_Tablet_Compact,Android,4,4.4,,xperia-z3-tablet-compact.jpg,2014/11/7 17:17,2015/9/17 12:44
SLP-035,0,slp,SLP-Xperia Z4 Tablet,Android,5,0.2,,XPERIAZ4tab.jpg,2015/6/19 18:51,2015/9/17 12:44
SLP-041,0,slp,SLP-Galaxy_Tab_10.1,Android,3,2,,SLP-Galaxy_Tab_10.1.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-051,0,slp,SLP-CYCLOPS,,,,バーコードリーダ,SLP-CYCLOPS.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-061,0,slp,SLP-lenovo_Miix2_8,Windows,8,1,32bit,SLP-lenovo_Miix2_8.jpg,2014/4/16 18:19,2015/9/17 12:44
SLP-062,0,slp,Vivo Tab Note 8,Windows,8,1,32bit,Vivo_Tab_Note8.jpg,2014/9/16 11:14,2015/9/17 12:44
