管理番号,削除フラグ,管理グループ,機種名,OS,メジャーバージョン,サブバージョン,備考,画像ファイル名,作成日,更新日
SLP-063,0,slp,Surface pro3,Windows,8,1,Pro 64bit,Surface_Pro3.jpg,2014/9/16 11:14,2015/9/17 12:44
SLP-064,0,slp,DELL_LATITUDE_E6500,Windows,7,,Pro 32bit,DELL_LATITUDE_E6500.jpg,2014/12/19 16:07,2015/9/17 12:44
SLP-065,0,slp,LaVie_S_LS150/SSW,Windows,10,,home 64bit（旧：8.1）,LaVie_S_LS150SSW.jpg,2015/2/19 19:59,2015/9/17 12:44
SLP-066,0,slp,ASUS TransBook T300 Chi,Windows,10,,home 64bit（旧：8.1）,transbook.jpg,2015/5/27 10:21,2015/9/17 12:44
SLP-067,0,slp,Surface3,Windows,8,1,,surface3.jpg,2015/6/19 18:51,2015/9/17 12:44
SLP-068,0,slp,MADOSUMA Q501,Windows Phone,8,1 Update,,MADOSMA.jpg,2015/6/25 13:28,2015/9/17 12:44
SLP-069,0,slp,OZZIO NR,Windows,10,,home 64bit（旧：7）,ozzio_nr.jpg,2015/7/13 17:21,2015/9/17 12:44
SLP-075,0,slp,ozzio phone,Android,4,4.2,,ozzio_phone.jpg,2014/10/14 13:01,2015/9/17 12:44
SLP-081,0,slp,Mac Book Air 11inch,MacOS,10,10.3,Yosemite,macbookair11.jpg,2014/9/4 17:56,2015/9/17 12:44
SLP-082,0,slp,新しい Mac Book,MacOS,10,11,El Capitan,new-macbook.jpg,2015/4/28 18:31,2015/9/17 12:44
WI-001,0,wi,iPhone4,iOS,4,3.5,,iPhone4.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-002,0,wi,SO01B,Android,1,6,,SO01B.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-003,0,wi,iPad,iOS,2,2.2,,apple-ipad-1.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-004,0,wi,docomo,,,,ガラケー,docomo.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-005,0,wi,softbank,,,,ガラケー,softbank.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-006,0,wi,au,,,,ガラケー,au.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-007,0,wi,GALAXY,Android,2,2,,GALAXY.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-008,0,wi,IS03,Android,2,1,,IS03.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-009,0,wi,INFOBAR,Android,2,3.3,,INFOBAR.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-010,0,wi,ArrowsTab,Android,3,2,,ArrowsTab.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-011,0,wi,iPad2,iOS,7,0.4,,iPad2.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-012,0,wi,iPhone4s,iOS,7,0.6,,iPhone4s.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-013,0,wi,GALAXY_NEXUS,Android,4,1.1,,GALAXY_NEXUS.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-014,0,wi,iPhone5,iOS,6,1.3,"<span class=""label label-info"">鈴木管理</span>",iPhone5.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-015,0,wi,Nexus7_2012,Android,4,2,,Nexus7_2012.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-016,0,wi,iPad_mini,iOS,6,1.3,,apple-ipad-mini-wifi-1_01.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-017,0,wi,XPERIA_SO-02E,Android,4,1.2,,doomoso-02.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-018,0,wi,AQUOS_PHONE_SH-02E,Android,4,0.4,"<span class=""label label-info"">工藤管理</span>",K0000426890.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-019,0,wi,htc_HTL21,Android,4,1.1,,20121206145317_736_.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-020,0,wi,iPad_Retina,iOS,7,1,,iPad_Retina.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-021,0,wi,ICONIA_W510,Windows,8,0,,iconia-w510.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-022,0,wi,kindle_fire_HD_89,Kindle,,,,kindle_fire_HD_89.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-023,0,wi,Nexus10,Android,4,4.2,,nexsus-10.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-024,0,wi,Xperia_Tablet,Android,4,2.2,,xperia-tablet-z-300x225.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-025,0,wi,Nexus7_2013,Android,4,4.2,,Nexus7_2013.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-026,0,wi,Surface_Pro2,Windows,8,1,,Surface_Pro2.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-027,0,wi,iPad_Air,iOS,7,0.4,,iPad-Air_b.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-028,0,wi,iPad_mini_Retina,iOS,7,1,"<span class=""label label-info"">松村管理</span>",iPad-miniretina.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-029,0,wi,iPhone5s,iOS,7,0.4,"<span class=""label label-info"">田中管理</span>SIMあり",iPhone5s.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-030,0,wi,iPad mini-morisawa,iOS,8,1.2,,apple-ipad-mini-wifi-1_01.jpg,2014/12/12 19:53,2015/9/17 12:44
WI-031,0,wi,Xperia Z3 tablet co,Android,4,4.4,"<span class=""label label-primary"">Kindle</span>",xperia_z3_tablet_compact.jpg,2015/3/26 13:55,2015/9/17 12:44
WI-032,0,wi,Zenfone,Android,4,4.2,"<span class=""label label-info"">引田管理</span>",zenfone5-red.jpg,2015/3/26 13:55,2015/9/17 12:44
WI-033,0,wi,iPad Air2 GOLD,iOS,8,1,,ipad-air-select-gold.jpg,2015/3/26 13:55,2015/9/17 12:44
WI-034,0,wi,iPad mini 3,iOS,8,0,"<span class=""label label-primary"">Kindle</span>",ipad-mini3-step1-wifi-gray.jpg,2015/3/26 13:55,2015/9/17 12:44
WI-035,0,wi,iPhone5,iOS,,,"<span class=""label label-info"">河原管理</span>",iPhone5.jpg,2015/6/4 15:11,2015/9/17 12:44
WI-036,0,wi,iPhone5,iOS,,,"<span class=""label label-info"">雄鹿管理</span>",iPhone5.jpg,2015/6/4 15:11,2015/9/17 12:44
WI-101,0,wi,IXY_600,,,,"デジカメ<br><span class=""label label-warning"">別ロッカー</span>",ixy600.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-102,0,wi,Panasonic_NV-GS250,,,,"ビデオカメラ<br><span class=""label label-warning"">別ロッカー</span>",panasonic-nv-gs250.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-103,0,wi,Velbon,,,,"三脚<br><span class=""label label-warning"">別ロッカー</span>",velbon-2.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-104,1,wi,USB memory 2G,,,,使用後はフォーマットすること!,USB-memory_2G.jpg,2014/4/16 18:19,2015/9/17 12:44
WI-105,0,wi,Lighting Box,,,,"ライティングボックス<br><span class=""label label-warning"">別ロッカー</span>",lighting-box170x170.jpg,2014/10/2 18:56,2015/9/17 12:44
